model_name,dataset_name,accuracy,precision_macro,precision_weighted,recall_macro,recall_weighted,AUROC,n_params,accuracy_std,precision_macro_std,precision_weighted_std,recall_macro_std,recall_weighted_std
imagine_cnn,cross_subject_data_0_5_subjects,0.8787087912087912,0.8789473038116521,0.8789636041007938,0.8787438344572779,0.8787087912087912,0.9191548501139402,371220.0,0.005442750757186502,0.005447376346365167,0.005475993262923115,0.0054602213342274265,0.005442750757186502
imagine_cnn,cross_subject_data_1_5_subjects,0.852038043478261,0.8521350223281174,0.8523037718753986,0.8520067576318816,0.852038043478261,0.9013468052866184,371220.0,0.006706302076065775,0.006732125836471517,0.0065641801987149665,0.006642719905488916,0.006706302076065775
imagine_cnn,cross_subject_data_2_5_subjects,0.8564538043478261,0.8568366683048272,0.8569272621469268,0.8565228158435249,0.8564538043478261,0.9043341037241023,371220.0,0.02391217497805259,0.023881497077974656,0.023704302748058074,0.023728967413852324,0.02391217497805259
imagine_cnn,cross_subject_data_3_5_subjects,0.858899456521739,0.8590621260788511,0.8591011043959492,0.8588790250786287,0.858899456521739,0.9059236391657913,371220.0,0.0037100726687263872,0.0038270285779837183,0.0037657603542456492,0.003681705146775405,0.0037100726687263872
imagine_cnn,cross_subject_data_4_5_subjects,0.8586956521739131,0.8588606010590445,0.8588721640235295,0.858649995573543,0.8586956521739131,0.9057709998084338,371220.0,0.004173982923724376,0.004216590360686023,0.004218308346177409,0.004200731074537804,0.004173982923724376
imagine_fcn,cross_subject_data_0_5_subjects,0.31641483516483515,0.3771028366741865,0.3761077697573587,0.31260780899381235,0.31641483516483515,0.5417556945030859,354308.0,0.08433712173112067,0.2921275801452573,0.29033111431376435,0.08528549480215498,0.08433712173112067
imagine_fcn,cross_subject_data_1_5_subjects,0.3360733695652174,0.2781758459711598,0.2799680284852454,0.3322685819177017,0.3360733695652174,0.5548593593416659,354308.0,0.10968380446397132,0.2930807727586178,0.2932265930547468,0.11314079722392455,0.10968380446397132
imagine_fcn,cross_subject_data_2_5_subjects,0.3015625,0.2851097720232966,0.28459746511675005,0.2913250998760327,0.3015625,0.5275452028879097,354308.0,0.05534412877435204,0.3010566402747224,0.29634522677170294,0.056667687002644275,0.05534412877435204
imagine_fcn,cross_subject_data_3_5_subjects,0.30557065217391305,0.41809799735685865,0.4171433012870024,0.30124485178763105,0.30557065217391305,0.5341669681173531,354308.0,0.054298232297467344,0.32368065004604346,0.3217037774357668,0.05477145952182778,0.054298232297467344
imagine_fcn,cross_subject_data_4_5_subjects,0.31942934782608695,0.3518052126658807,0.35207177773804244,0.3160467936917976,0.31942934782608695,0.544022992154271,354308.0,0.07759508371525181,0.27500726096510064,0.27382337300082443,0.08234614165957246,0.07759508371525181
imagine_gcn,cross_subject_data_0_5_subjects,0.39340659340659345,0.4164948851015309,0.4162067888024077,0.39055909939224664,0.39340659340659345,0.5937085528649982,354308.0,0.17222201865877804,0.3246385520432974,0.3237751639224383,0.17395156575115592,0.17222201865877804
imagine_gcn,cross_subject_data_1_5_subjects,0.3724864130434783,0.218586124758989,0.21995038462929478,0.3671007893877736,0.3724864130434783,0.5780675284177816,354308.0,0.2588881947184411,0.34526903532996184,0.344467728429207,0.2618453252899477,0.2588881947184411
imagine_gcn,cross_subject_data_2_5_subjects,0.4421195652173913,0.3391988111249284,0.3402990742167983,0.43467572804152976,0.4421195652173913,0.6231229743948286,354308.0,0.2575567898255287,0.37788211713804526,0.3755495509476131,0.2627966857394592,0.2575567898255287
imagine_gcn,cross_subject_data_3_5_subjects,0.3408967391304348,0.24174922980692873,0.24207388372852562,0.3370830394607457,0.3408967391304348,0.5580596131390616,354308.0,0.1924279849141007,0.2801526795693471,0.2795096661983169,0.19453115410292882,0.1924279849141007
imagine_gcn,cross_subject_data_4_5_subjects,0.4620244565217392,0.47335379325549065,0.47346218165794685,0.4581639143824428,0.4620244565217392,0.638781826757665,354308.0,0.2468440264138693,0.37862392365515174,0.37722788927158896,0.2502085113574443,0.2468440264138693
imagine_gcn_auto,cross_subject_data_0_5_subjects,0.882554945054945,0.8830465686421629,0.8830028185220911,0.8825410828678857,0.882554945054945,0.9216907536570631,358404.0,0.018125883544500922,0.01798181901598604,0.017860087606593196,0.018046400475272843,0.018125883544500922
imagine_gcn_auto,cross_subject_data_1_5_subjects,0.8528532608695653,0.8542286585892181,0.854335020241048,0.8528121035770055,0.8528532608695653,0.90188242182316,358404.0,0.012460524416897273,0.010583096750855267,0.010488920007737695,0.012437208469955923,0.012460524416897273
imagine_gcn_auto,cross_subject_data_2_5_subjects,0.8616847826086957,0.8648265094949845,0.8642291246798214,0.8612086414100519,0.8616847826086957,0.9074970940612621,358404.0,0.01774353264107325,0.014532354575049611,0.015113727400732243,0.018291572181961594,0.01774353264107325
imagine_gcn_auto,cross_subject_data_3_5_subjects,0.8457201086956522,0.8464521522680613,0.8465777049966894,0.8457371300320521,0.8457201086956522,0.8971622814749434,358404.0,0.018894542698812793,0.01794476766142556,0.017814531099822496,0.018820291333383837,0.018894542698812793
imagine_gcn_auto,cross_subject_data_4_5_subjects,0.8632472826086957,0.8638661171227795,0.8638015148462947,0.8630949386689639,0.8632472826086957,0.9087457398925671,358404.0,0.01082062692439132,0.010126106711994761,0.01021706307260016,0.010887942130304038,0.01082062692439132
imagine_rnn,cross_subject_data_0_5_subjects,0.8539835164835164,0.8549757927483324,0.8548208946175295,0.8538349492777402,0.8539835164835164,0.9025659042046665,357556.0,0.003880646452339714,0.003306413712051437,0.003447267559928141,0.004024142557858578,0.003880646452339714
